iteration,cost
0,109.147294
1,71.409666
2,70.987778
3,70.822201
4,70.715773
5,70.629987
6,70.552828
7,70.479385
8,70.407213
9,70.334908
10,70.261565
11,70.186536
12,70.109301
13,70.02933
14,69.945863
15,69.857406
16,69.760238
17,69.641441
18,69.454997
19,69.494893
20,69.182568
21,68.90407
22,68.84505
23,68.189726
24,66.867946
25,66.340469
26,65.84368
27,66.892432
28,65.677247
29,65.017809
30,64.305112
31,63.637918
32,62.862628
33,62.152427
34,61.543485
35,61.013081
36,60.524981
37,60.04474
38,59.55037
39,59.038357
40,58.50604
41,57.966249
42,57.427254
43,56.889376
44,56.351172
45,55.827394
46,55.295327
47,54.780671
48,54.276729
49,53.792083
50,53.322422
51,52.863779
52,52.516181
53,51.999061
54,51.573924
55,51.16723
56,50.777731
57,50.405207
58,50.044936
59,49.699909
60,49.366015
61,49.039647
62,48.722378
63,48.417217
64,48.122931
65,47.838225
66,47.564091
67,47.301334
68,47.046388
69,46.801004
70,46.555198
71,46.327879
72,46.091931
73,45.870561
74,45.650222
75,45.428483
76,45.228526
77,45.045385
78,44.815902
79,44.655276
80,44.454487
81,44.253292
82,44.129615
83,43.935122
84,43.768819
85,43.674766
86,43.468863
87,43.349895
88,43.242838
89,42.962528
90,42.889498
91,42.822609
92,42.566432
93,42.319105
94,42.224575
95,42.090174
96,41.918727
97,41.848634
98,41.651752
99,41.604362
100,41.558868
101,41.369582
102,41.355523
103,41.115841
104,41.084689
105,40.8464
106,40.665043
107,40.476539
108,40.767128
109,40.430941
110,40.448943
111,40.166426
112,40.684172
113,39.800815
114,39.796726
115,39.514086
116,39.412966
117,39.266329
118,39.101896
119,39.002356
120,38.876533
121,38.979137
122,38.918719
123,38.630697
124,38.570243
125,38.328062
126,38.202206
127,38.092411
128,38.091812
129,37.876429
130,37.757947
131,37.653599
132,37.549213
133,37.45839
134,37.368556
135,40.653798
136,53.452602
137,48.634213
138,45.808688
139,44.759006
140,44.171392
141,43.673529
