iteration, error_rate
0,0.99532
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,0.967201
34,0.959417
35,0.950173
36,0.917838
37,0.918835
38,0.918835
39,0.918835
40,0.918835
41,0.907685
42,0.874698
43,0.847926
44,0.812136
45,0.809146
46,0.809187
47,0.803518
48,0.79046
49,0.790096
50,0.920989
51,0.971154
52,0.962553
53,0.944512
54,0.964535
55,0.970867
56,0.949048
57,0.934031
58,0.934031
59,0.934031
60,0.934031
61,0.934031
62,0.934031
63,0.933365
64,0.931732
65,0.9229
66,0.907969
67,0.904785
68,0.903368
69,0.901557
70,0.900836
71,0.880341
72,0.857573
73,0.854402
74,0.849127
75,0.845901
76,0.844085
77,0.808415
78,0.802736
79,0.802634
80,0.801564
81,0.801166
82,0.801166
83,0.796782
84,0.786182
85,0.775374
86,0.772113
87,0.771714
88,0.766966
89,0.750054
90,0.743979
91,0.732392
92,0.702021
93,0.690288
94,0.686462
95,0.683781
96,0.679337
97,0.672878
98,0.669972
99,0.666691
100,0.663631
101,0.661291
102,0.660527
103,0.661157
104,0.661817
105,0.664009
106,0.665069
107,0.666724
108,0.668444
109,0.669621
110,0.669829
111,0.671436
112,0.671551
113,0.669622
114,0.667056
115,0.665631
116,0.662806
117,0.659417
118,0.65668
119,0.653722
120,0.65211
121,0.648386
122,0.645337
123,0.642071
124,0.639544
125,0.635999
126,0.632932
127,0.630646
128,0.628802
129,0.627143
130,0.626072
131,0.625174
132,0.62361
133,0.621789
134,0.620849
135,0.619697
136,0.618419
137,0.61694
138,0.61569
139,0.615137
140,0.614103
141,0.612556
142,0.611583
143,0.610159
144,0.608791
145,0.608086
146,0.605331
147,0.604044
148,0.600914
149,0.598567
150,0.595575
151,0.594273
152,0.594007
153,0.591337
154,0.590501
155,0.589409
156,0.587975
157,0.590459
158,0.586591
159,0.58475
160,0.58458
161,0.58205
162,0.582724
163,0.580943
164,0.581264
165,0.583896
166,0.579643
167,0.580126
168,0.579331
169,0.58043
170,0.578221
171,0.580694
172,0.579674
173,0.578033
174,0.58069
175,0.57955
176,0.577931
177,0.577732
178,0.577436
179,0.574201
180,0.573341
181,0.573792
182,0.574364
183,0.571758
184,0.572213
185,0.573441
186,0.574092
187,0.572882
188,0.571958
189,0.572301
190,0.570784
191,0.57062
192,0.567024
193,0.568936
194,0.56616
195,0.564955
196,0.564683
197,0.563958
198,0.564025
199,0.561639
200,0.560484
201,0.557056
202,0.556897
203,0.559897
204,0.555751
205,0.557015
206,0.556425
207,0.556764
208,0.557456
209,0.55749
210,0.554249
211,0.556349
212,0.558056
213,0.556581
214,0.556593
215,0.556903
216,0.559478
217,0.556714
218,0.556014
219,0.556926
220,0.557337
221,0.559463
222,0.554734
223,0.554609
224,0.554234
225,0.555272
226,0.552992
227,0.55289
228,0.552892
229,0.552472
230,0.551361
231,0.550806
232,0.551563
233,0.551348
234,0.551891
235,0.552621
236,0.552684
237,0.552891
238,0.552413
239,0.551783
240,0.551341
241,0.550479
242,0.549949
243,0.550275
244,0.550491
245,0.550006
246,0.550054
247,0.549515
248,0.549635
249,0.549829
250,0.550025
251,0.549964
252,0.550127
253,0.550047
254,0.550191
255,0.55043
256,0.550577
257,0.550653
258,0.550891
259,0.550788
260,0.551029
261,0.551014
262,0.551329
263,0.551424
264,0.551568
265,0.552761
266,0.553291
267,0.553597
268,0.55342
269,0.553618
270,0.553928
271,0.554103
272,0.555263
273,0.555085
274,0.556735
275,0.558353
276,0.558907
277,0.559278
278,0.559791
279,0.559841
280,0.559675
281,0.559593
282,0.559733
283,0.559706
284,0.559632
285,0.559849
286,0.55989
287,0.56011
288,0.559964
289,0.559663
290,0.559925
291,0.559859
292,0.559802
293,0.559748
294,0.559847
295,0.55985
296,0.559545
297,0.559426
298,0.559303
299,0.559353
300,0.559295
301,0.55934
302,0.559203
303,0.559287
304,0.558796
305,0.559227
306,0.558428
307,0.559074
308,0.558514
309,0.558526
310,0.558379
311,0.558018
