iteration,cost
0,648.992554
1,470.729187
2,148.323639
3,203.766891
4,182.972061
5,118.092049
6,289.661407
7,235.316330
8,329.055511
9,361.944000
10,352.949860
11,310.487427
12,237.587616
13,210.500336
14,151.593536
15,134.658005
16,202.412140
17,195.814163
18,244.240265
19,244.277924
20,204.412338
21,139.484421
22,242.352905
23,160.628265
24,129.511993
25,160.029297
26,182.386444
27,154.338135
28,155.638626
29,136.353729
30,135.212769
31,136.218384
32,160.311874
33,115.461304
34,139.604050
35,115.198837
36,136.649872
37,101.562065
38,102.310753
39,101.780441
40,98.193977
41,99.869186
42,94.463554
43,96.798950
44,94.964424
45,94.175964
46,91.024399
47,81.409012
48,77.764816
49,75.502739
50,71.958115
51,67.207123
52,63.449120
53,61.351784
54,60.413853
55,60.986603
56,61.650307
57,59.632530
58,57.380730
59,57.488335
60,57.094387
61,55.049206
62,53.563854
63,53.652916
64,53.653782
65,52.773418
66,50.940441
67,49.031666
68,47.775982
69,47.696815
70,47.573792
71,47.038162
72,46.221809
73,45.683395
74,45.333267
75,44.711720
76,44.962177
77,43.957535
78,43.705719
79,43.969746
80,43.350262
81,43.037945
82,42.276402
83,42.170929
84,41.876495
85,41.761662
86,41.508812
87,41.185074
88,40.994534
89,40.736427
90,40.730465
91,40.484074
92,40.410553
93,40.184135
94,40.212215
95,40.057014
96,39.898331
97,39.792618
98,39.581898
99,39.554768
100,39.443180
101,39.305035
102,39.233273
103,39.114372
104,39.019108
105,38.952995
106,38.859165
107,38.767723
108,38.698166
109,38.622852
110,38.537132
111,38.442032
112,38.351833
113,38.273529
114,38.203560
115,38.136692
116,38.072952
117,38.092651
118,38.170670
119,39.255569
120,38.636307
121,38.753391
122,38.479172
123,39.084423
124,37.847816
125,41.367455
126,46.372044
127,50.050247
128,69.150795
129,47.122261
130,46.689133
131,44.096043
132,45.518898
133,44.247963
134,44.012558
135,41.452351
136,43.409561
137,42.360085
138,42.789692
139,43.103233
140,42.618721
141,41.805168
142,41.574741
143,40.258076
144,39.891155
145,41.121784
146,40.834156
147,39.026005
148,38.846420
149,39.271652
150,38.595970
151,38.581131
152,38.322533
153,37.927895
154,37.656822
155,37.570267
156,37.224052
157,36.925861
158,36.950127
159,37.076260
160,36.828571
161,36.579693
162,36.423214
163,36.191097
164,36.250298
165,36.201324
166,35.935486
167,35.732204
168,35.419685
169,35.336773
170,35.234226
171,35.078461
172,34.908348
173,34.706173
174,34.493309
175,34.329380
176,34.220932
177,34.033573
178,33.855572
179,33.661900
180,33.447281
181,33.296608
182,33.139759
183,32.951424
184,32.776516
185,32.584114
186,32.382412
187,32.221195
188,32.045567
189,31.860172
190,31.690166
191,31.506472
192,31.345070
193,31.186600
194,31.018625
195,30.867470
196,30.710676
197,30.565374
198,30.431866
199,30.294037
