iteration, error_rate
0,0.857143
1,0.952381
2,0.952381
3,0.952381
4,0.952381
5,0.857143
6,0.952381
7,0.952381
8,0.952381
9,0.952381
10,0.952381
11,0.952381
12,0.952381
13,0.952381
14,0.952381
15,0.952381
16,0.952381
17,0.952381
18,0.952381
19,0.952381
20,0.952381
21,0.857143
22,0.857143
23,0.857143
24,0.952381
25,0.952381
26,0.952381
27,0.761905
28,0.666667
29,0.714286
30,0.666667
31,0.666667
32,0.952381
33,0.952381
34,0.952381
35,0.809524
36,0.904762
37,0.904762
38,0.904762
39,0.809524
40,0.809524
41,0.714286
42,0.904762
43,0.809524
44,0.809524
45,0.809524
46,0.809524
47,0.809524
48,0.809524
49,0.809524
50,0.809524
51,0.809524
52,0.809524
53,0.809524
54,0.809524
55,0.809524
56,0.809524
57,0.809524
58,0.809524
59,0.809524
60,0.809524
61,0.809524
62,0.809524
63,0.809524
64,0.809524
65,0.809524
66,0.761905
67,0.761905
68,0.761905
69,0.761905
70,0.761905
71,0.761905
72,0.714286
73,0.666667
74,0.714286
75,0.809524
76,0.761905
77,0.761905
78,0.809524
79,0.761905
80,0.809524
81,0.714286
82,0.714286
83,0.714286
84,0.714286
85,0.714286
86,0.619048
87,0.666667
88,0.761905
89,0.761905
90,0.666667
91,0.666667
92,0.666667
93,0.666667
94,0.666667
95,0.666667
96,0.666667
97,0.666667
98,0.666667
99,0.666667
100,0.666667
101,0.666667
102,0.666667
103,0.666667
104,0.666667
105,0.666667
106,0.666667
107,0.666667
108,0.666667
109,0.666667
110,0.666667
111,0.666667
112,0.666667
113,0.666667
114,0.666667
115,0.666667
116,0.666667
117,0.666667
118,0.714286
119,0.714286
120,0.714286
121,0.714286
122,0.666667
123,0.714286
124,0.666667
125,0.761905
126,0.761905
127,0.714286
128,0.571429
129,0.666667
130,0.666667
131,0.666667
132,0.523810
133,0.714286
134,0.666667
135,0.714286
136,0.666667
137,0.666667
138,0.619048
139,0.666667
140,0.571429
141,0.476190
142,0.619048
143,0.666667
144,0.666667
145,0.666667
146,0.666667
147,0.666667
148,0.619048
149,0.619048
150,0.619048
151,0.666667
152,0.666667
153,0.666667
154,0.666667
155,0.666667
156,0.619048
157,0.571429
158,0.619048
159,0.619048
160,0.619048
161,0.619048
162,0.619048
163,0.666667
164,0.666667
165,0.619048
166,0.619048
167,0.619048
168,0.619048
169,0.619048
170,0.619048
171,0.619048
172,0.619048
173,0.619048
174,0.619048
175,0.619048
176,0.619048
177,0.619048
178,0.523810
179,0.523810
180,0.523810
181,0.476190
182,0.523810
183,0.523810
184,0.523810
185,0.523810
186,0.476190
187,0.476190
188,0.523810
189,0.523810
190,0.476190
191,0.476190
192,0.476190
193,0.476190
194,0.476190
195,0.428571
196,0.428571
197,0.428571
198,0.428571
199,0.428571
