iteration,loss
1,1.108718
2,1.108715
3,1.108713
4,1.108710
5,1.108707
6,1.108703
7,1.108700
8,1.108697
9,1.108693
10,1.108690
11,1.108685
12,1.108682
13,1.108677
14,1.108672
15,1.108668
16,1.108662
17,1.108656
18,1.108650
19,1.108643
20,1.108636
21,1.108629
22,1.108622
23,1.108614
24,1.108606
25,1.108597
26,1.108588
27,1.108579
28,1.108569
29,1.108559
30,1.108548
31,1.108537
32,1.108525
33,1.108512
34,1.108498
35,1.108483
36,1.108467
37,1.108451
38,1.108434
39,1.108415
40,1.108397
41,1.108377
42,1.108355
43,1.108333
44,1.108308
45,1.108284
46,1.108259
47,1.108232
48,1.108204
49,1.108174
50,1.108140
51,1.108105
52,1.108069
53,1.108031
54,1.107990
55,1.107948
56,1.107904
57,1.107860
58,1.107809
59,1.107759
60,1.107704
61,1.107648
62,1.107585
63,1.107522
64,1.107456
65,1.107384
66,1.107309
67,1.107228
68,1.107145
69,1.107057
70,1.106964
71,1.106863
72,1.106761
73,1.106655
74,1.106542
75,1.106418
76,1.106288
77,1.106154
78,1.106011
79,1.105863
80,1.105707
81,1.105543
82,1.105366
83,1.105181
84,1.104984
85,1.104779
86,1.104565
87,1.104337
88,1.104094
89,1.103842
90,1.103579
91,1.103298
92,1.103006
93,1.102692
94,1.102362
95,1.102017
96,1.101652
97,1.101274
98,1.100864
99,1.100442
100,1.099991
101,1.099519
102,1.099017
103,1.098495
104,1.097938
105,1.097356
106,1.096738
107,1.096094
108,1.095417
109,1.094707
110,1.093949
111,1.093163
112,1.092326
113,1.091449
114,1.090534
115,1.089563
116,1.088554
117,1.087484
118,1.086361
119,1.085193
120,1.083952
121,1.082656
122,1.081291
123,1.079861
124,1.078362
125,1.076786
126,1.075132
127,1.073397
128,1.071578
129,1.069677
130,1.067688
131,1.065611
132,1.063432
133,1.061148
134,1.058757
135,1.056262
136,1.053649
137,1.050913
138,1.048052
139,1.045046
140,1.041904
141,1.038604
142,1.035128
143,1.031486
144,1.027655
145,1.023621
146,1.019378
147,1.014920
148,1.010231
149,1.005334
150,1.000186
151,0.994793
152,0.989181
153,0.983368
154,0.977361
155,0.971168
156,0.964815
157,0.958293
158,0.951599
159,0.944729
160,0.937681
161,0.930433
162,0.922980
163,0.915321
164,0.907482
165,0.899530
166,0.891564
167,0.883667
168,0.875951
169,0.868518
170,0.861455
171,0.854704
172,0.848211
173,0.841956
174,0.835990
175,0.830482
176,0.825635
177,0.821471
178,0.818003
179,0.815077
180,0.812414
181,0.809876
182,0.807570
183,0.805481
184,0.803525
185,0.801733
186,0.799824
187,0.797052
188,0.794453
189,0.792434
190,0.790537
191,0.789217
192,0.788128
193,0.787086
194,0.785968
195,0.784727
196,0.783480
197,0.782793
198,0.782278
199,0.781118
200,0.780274
201,0.779268
202,0.777707
203,0.776871
204,0.776153
205,0.775167
206,0.773982
207,0.772919
208,0.772145
209,0.771091
210,0.769409
211,0.769095
212,0.768811
213,0.768697
214,0.768858
215,0.768796
216,0.767702
217,0.767347
218,0.766539
219,0.766042
220,0.765440
221,0.765531
222,0.764825
223,0.764913
224,0.764773
225,0.764587
226,0.763791
227,0.763777
228,0.763228
229,0.762797
230,0.762390
231,0.761182
232,0.760840
233,0.760678
234,0.760429
235,0.760392
236,0.760122
237,0.759899
238,0.759679
239,0.759679
240,0.759601
241,0.759615
242,0.759573
243,0.759599
244,0.759311
245,0.759186
246,0.758964
247,0.759004
248,0.758766
249,0.758606
250,0.758485
251,0.758280
252,0.758115
253,0.758208
254,0.757831
255,0.757610
256,0.757124
257,0.756971
258,0.756209
259,0.756215
260,0.755733
261,0.755568
262,0.755334
263,0.755325
264,0.754647
265,0.754506
266,0.753805
267,0.753075
268,0.753022
269,0.753214
270,0.753005
271,0.752992
272,0.752897
273,0.752797
274,0.752027
275,0.751986
276,0.751920
277,0.751595
278,0.751049
279,0.750473
280,0.750272
281,0.750376
282,0.750115
283,0.749796
284,0.749445
285,0.749596
286,0.749449
287,0.749443
288,0.749333
289,0.748977
290,0.747834
291,0.747780
292,0.747669
293,0.747820
294,0.747745
295,0.747698
296,0.747586
297,0.747431
298,0.747311
299,0.747315
300,0.747004
301,0.747014
302,0.746886
303,0.746861
304,0.746756
305,0.746795
306,0.746357
307,0.746059
308,0.745715
309,0.745548
310,0.745097
311,0.744853
312,0.744724
313,0.744785
314,0.744712
315,0.744705
316,0.744573
317,0.744438
318,0.744250
319,0.744120
320,0.743761
321,0.743624
322,0.743587
323,0.743689
324,0.743405
325,0.743434
326,0.743360
327,0.743504
328,0.743316
329,0.743494
330,0.743270
331,0.743379
332,0.743160
333,0.743272
334,0.742273
335,0.742344
336,0.741981
337,0.742155
338,0.741846
339,0.741925
340,0.741469
341,0.741413
342,0.741288
343,0.740966
344,0.740463
345,0.740324
346,0.740100
347,0.740263
348,0.739929
349,0.740090
350,0.739737
351,0.739899
352,0.739759
353,0.739945
354,0.739438
355,0.739660
356,0.739353
357,0.739412
358,0.739109
359,0.739417
360,0.739076
361,0.738969
362,0.738717
363,0.738530
364,0.738210
365,0.738439
366,0.738144
367,0.738228
368,0.737534
369,0.737732
370,0.737440
371,0.737760
372,0.737427
373,0.737598
374,0.737465
375,0.737763
376,0.737365
377,0.737495
378,0.737258
379,0.737274
380,0.736956
381,0.737035
382,0.736756
383,0.736970
384,0.736676
385,0.736858
386,0.736712
387,0.737051
388,0.736665
389,0.736708
390,0.736412
391,0.736548
392,0.735959
393,0.736108
394,0.735964
395,0.736169
396,0.735403
397,0.735219
398,0.735043
399,0.735336
400,0.735046
401,0.735168
402,0.734975
403,0.735268
404,0.734688
405,0.734433
406,0.734335
407,0.734692
408,0.733970
409,0.733659
410,0.733378
411,0.733899
412,0.733455
413,0.733630
414,0.733132
415,0.733145
416,0.732299
417,0.732373
418,0.732293
419,0.732440
420,0.731808
421,0.731923
422,0.731881
423,0.732069
424,0.731485
425,0.731117
426,0.730877
427,0.731212
428,0.731005
429,0.731075
430,0.730658
431,0.730905
432,0.730637
433,0.730616
434,0.730172
435,0.730381
436,0.730221
437,0.730337
438,0.729976
439,0.730199
440,0.729999
441,0.730120
442,0.729793
443,0.730005
444,0.729826
445,0.730076
446,0.729736
447,0.729952
448,0.729640
449,0.729871
450,0.729550
451,0.729854
452,0.729573
453,0.729861
454,0.729439
455,0.729625
456,0.729108
457,0.729113
458,0.728686
459,0.728812
460,0.728614
461,0.728831
462,0.728348
463,0.728433
464,0.728251
465,0.728487
466,0.728063
467,0.728312
468,0.728078
469,0.728331
470,0.727809
471,0.728066
472,0.727900
473,0.728175
474,0.727603
475,0.727551
476,0.727375
477,0.727674
478,0.727132
479,0.727285
480,0.727134
481,0.727400
482,0.726920
483,0.727092
484,0.726937
485,0.727213
486,0.726772
487,0.726893
488,0.726663
489,0.726934
490,0.726344
491,0.726326
492,0.725690
493,0.725927
494,0.725590
495,0.725714
496,0.725534
497,0.725795
498,0.725556
499,0.725746
500,0.725517
501,0.725641
502,0.725088
503,0.725313
504,0.725062
505,0.725365
506,0.724934
507,0.725228
508,0.724961
509,0.725269
510,0.724924
511,0.725130
512,0.724941
513,0.725039
514,0.724650
515,0.724675
516,0.724401
517,0.724418
518,0.724266
519,0.724301
520,0.724134
521,0.724202
522,0.724096
523,0.724272
524,0.724148
525,0.724191
526,0.723975
527,0.724193
528,0.724063
529,0.724172
530,0.723816
531,0.723979
532,0.723886
533,0.723958
534,0.723715
535,0.723341
536,0.722878
537,0.722877
538,0.722638
539,0.722564
540,0.722225
541,0.722243
542,0.722199
543,0.722335
544,0.722228
545,0.722369
546,0.722024
547,0.722087
548,0.721830
549,0.721969
550,0.721469
551,0.721619
552,0.721363
553,0.721635
554,0.721400
555,0.721588
556,0.721329
557,0.721276
558,0.720846
559,0.721113
560,0.720920
561,0.720958
562,0.720695
563,0.720911
564,0.720747
565,0.720816
566,0.720644
567,0.720652
568,0.720284
569,0.720218
570,0.719978
571,0.720002
572,0.719791
573,0.719899
574,0.719786
575,0.719884
576,0.719452
577,0.719576
578,0.719290
579,0.719462
580,0.719105
581,0.719238
582,0.718897
583,0.719070
584,0.718858
585,0.718967
586,0.718798
587,0.719069
588,0.718940
589,0.719150
590,0.718923
591,0.718941
592,0.718521
593,0.718624
594,0.718509
595,0.718458
596,0.718194
597,0.717852
598,0.717772
599,0.717755
600,0.717694
601,0.717608
602,0.717213
603,0.716065
604,0.715713
605,0.715658
606,0.715741
607,0.715791
608,0.715720
609,0.715764
610,0.715659
611,0.715721
612,0.715514
613,0.715532
614,0.715374
615,0.715486
616,0.715293
617,0.715355
618,0.715254
619,0.715394
620,0.715177
621,0.714693
622,0.714381
623,0.714159
624,0.713936
625,0.713931
626,0.713890
627,0.713926
628,0.713925
629,0.713958
630,0.713931
631,0.714070
632,0.713822
633,0.713889
634,0.713607
635,0.713686
636,0.713447
637,0.713597
638,0.713524
639,0.713660
640,0.713481
641,0.713534
642,0.713506
643,0.713619
644,0.713506
645,0.713563
646,0.713214
647,0.712923
648,0.712732
649,0.712563
650,0.712548
651,0.712488
652,0.712415
653,0.712280
654,0.711960
655,0.711829
656,0.711828
657,0.711735
658,0.711718
659,0.711278
660,0.711368
661,0.711370
662,0.711549
663,0.711331
664,0.711417
665,0.711329
666,0.711458
667,0.711010
668,0.711111
669,0.710879
670,0.710835
671,0.710662
672,0.710836
673,0.710310
674,0.710156
675,0.709747
676,0.709655
677,0.709582
678,0.709707
679,0.709701
680,0.709814
681,0.709627
682,0.709680
683,0.709527
684,0.709602
685,0.709430
686,0.709552
687,0.709432
688,0.709431
689,0.708986
690,0.709158
691,0.709043
692,0.709220
693,0.709008
694,0.709167
695,0.709075
696,0.709168
697,0.708923
698,0.708917
699,0.708791
700,0.708779
701,0.708684
702,0.708702
703,0.708713
704,0.708746
705,0.708615
706,0.708634
707,0.708469
708,0.708573
709,0.708343
710,0.708400
711,0.708244
712,0.708395
713,0.708189
714,0.708221
715,0.708053
716,0.708063
717,0.708162
718,0.708299
719,0.707976
720,0.707108
721,0.706819
722,0.706409
723,0.705830
724,0.705620
725,0.705715
726,0.705626
727,0.705853
728,0.705544
729,0.705635
730,0.705345
731,0.705558
732,0.705246
733,0.704724
734,0.703871
735,0.704012
736,0.703636
737,0.703157
738,0.702835
739,0.702862
740,0.702739
741,0.702819
742,0.702694
743,0.702797
744,0.702748
745,0.702925
746,0.702767
747,0.702910
748,0.702708
749,0.702739
750,0.702441
751,0.702336
752,0.701572
753,0.701623
754,0.701390
755,0.701569
756,0.701433
757,0.701618
758,0.701427
759,0.701524
760,0.701340
761,0.701396
762,0.701114
763,0.701154
764,0.701092
765,0.701266
766,0.701151
767,0.701246
768,0.701063
769,0.701148
770,0.700842
771,0.700931
772,0.700736
773,0.700994
774,0.700781
775,0.700989
776,0.700695
777,0.700941
778,0.700702
779,0.700861
780,0.700619
781,0.700706
782,0.700558
783,0.700387
784,0.700136
785,0.700144
786,0.700083
787,0.700325
788,0.699895
789,0.699943
790,0.699705
791,0.699929
792,0.699724
793,0.699956
794,0.699896
795,0.700192
796,0.700095
797,0.700022
798,0.699815
799,0.699716
800,0.699570
801,0.699423
802,0.699452
803,0.699464
804,0.699647
805,0.699528
806,0.699682
807,0.699625
808,0.699839
809,0.699602
810,0.699683
811,0.699502
812,0.699599
813,0.699326
814,0.699410
815,0.699305
816,0.699561
817,0.699361
818,0.699613
819,0.699501
820,0.699553
821,0.699293
822,0.699256
823,0.699146
824,0.698722
825,0.698134
826,0.698040
